"Library","Qty","Parts","Description","Value","Package","PROD_ID","RSPARTNUMBER","SF_ID",
"og-pj301","10","J1, J2, J3, J4, J5, J6, J9, J10, J11, J12","","PJ301_THONKICONN6","WQP_PJ_301M6","","","",
"rcl","5","C4, C5, C7, C8, C10","CAPACITOR, American symbol","100n","C0603","","","",
"rcl","1","C3","CAPACITOR, American symbol","100n","C0603","","264-4416","",
"rcl","1","C9","CAPACITOR, American symbol","10p","C0603","","601-0198 ","",
"diode","2","D1, D2","DIODE","1N5819HW","SOD123","","708-2197","",
"led","2","LED1, LED3","LED","L-937GYW","LED3MM","","228-5663 ","",
"SparkFun-Connectors","1","JP1","Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections","","2X5-SHROUDED","CONN-08671","","PRT-08506",
"GMSN-R2Project","1","IC4","OP AMP","TL074D","SO14","","","",
"GMSN-R2Project","1","IC1","OP AMP","TL074D","SO14","","661-0076","",
"rcl","2","C1, C2","POLARIZED CAPACITOR, American symbol","10u","PANASONIC_A","","568-711","",
"rcl","2","R3, R19","RESISTOR, American symbol","1.0k","R0603","","","",
"rcl","7","R7, R14, R15, R16, R17, R18, R20","RESISTOR, American symbol","100k","R0603","","","",
"rcl","1","R1","RESISTOR, American symbol","10M","R0603","","","",
"rcl","5","R2, R4, R5, R6, R21","RESISTOR, American symbol","51","R0603","","","",
